---
TYPE: stable_matching
MEN: m1, m2, m3, m4, m5, m6, m7, m8, m9, m10, m11, m12, m13, m14, m15, m16, m17, m18, m19, m20, m21, m22, m23, m24, m25, m26, m27, m28, m29, m30, m31, m32, m33, m34, m35, m36, m37, m38, m39, m40, m41, m42, m43, m44, m45, m46, m47, m48, m49, m50, m51, m52, m53, m54, m55, m56, m57, m58, m59, m60, m61, m62, m63, m64, m65, m66, m67, m68, m69, m70, m71, m72, m73, m74, m75, m76, m77, m78, m79, m80, m81, m82, m83, m84, m85, m86, m87, m88, m89, m90, m91, m92, m93, m94, m95, m96, m97, m98, m99, m100
m89: w17, w47, w22, w91, w80, w16, w90, w41, w15, w100, w3, w36, w72, w8, w79, w28, w98, w7, w30, w20, w55, w69, w94, w54, w12, w45, w53, w81, w65, w37, w77, w58, w85, w29, w68, w96, w34, w42, w25, w1, w74, w63, w21, w99, w92, w39, w13, w84, w2, w27, w18, w59, w86, w87, w5, w70, w73, w95, w32, w64, w89, w23, w43, w51, w24, w66, w44, w48, w50, w62, w11, w93, w61, w4, w46, w33, w26, w71, w76, w57, w82, w88, w97, w38, w52, w83, w49, w6, w31, w9, w78, w40, w10, w75, w14, w35, w56, w19, w60, w67
m90: w54, w64, w93, w17, w12, w38, w10, w2, w5, w4, w41, w76, w89, w63, w96, w80, w57, w78, w40, w56, w68, w60, w36, w1, w37, w27, w20, w45, w85, w47, w88, w33, w44, w94, w48, w49, w30, w26, w32, w75, w23, w11, w98, w91, w79, w100, w7, w72, w25, w9, w73, w59, w58, w69, w70, w28, w3, w86, w34, w46, w77, w19, w52, w87, w55, w16, w6, w62, w39, w21, w42, w90, w67, w35, w53, w29, w82, w84, w92, w97, w43, w24, w81, w15, w71, w31, w99, w66, w8, w95, w22, w13, w65, w50, w18, w14, w51, w61, w83, w74
m91: w13, w87, w3, w10, w15, w26, w9, w39, w6, w23, w47, w98, w16, w100, w32, w55, w42, w40, w57, w27, w93, w49, w80, w22, w97, w72, w17, w67, w70, w83, w53, w79, w94, w37, w92, w1, w43, w86, w75, w34, w60, w4, w33, w8, w7, w84, w50, w51, w48, w24, w28, w63, w69, w82, w19, w54, w18, w88, w64, w12, w2, w66, w68, w5, w78, w76, w89, w90, w77, w62, w20, w85, w30, w71, w45, w56, w14, w65, w59, w52, w21, w11, w35, w31, w95, w74, w41, w96, w99, w38, w46, w81, w58, w61, w44, w25, w73, w29, w36, w91
m92: w79, w9, w86, w33, w47, w55, w24, w36, w44, w88, w96, w38, w17, w43, w45, w77, w94, w93, w27, w69, w72, w59, w74, w95, w15, w65, w6, w67, w53, w71, w98, w64, w11, w35, w42, w7, w92, w19, w90, w63, w34, w41, w28, w82, w4, w66, w1, w81, w87, w80, w46, w75, w83, w30, w40, w52, w22, w26, w50, w13, w85, w84, w21, w8, w56, w58, w2, w49, w3, w51, w100, w5, w12, w29, w99, w70, w20, w23, w39, w32, w10, w14, w76, w25, w31, w48, w61, w57, w18, w97, w78, w89, w16, w73, w54, w68, w60, w37, w62, w91
m93: w15, w50, w57, w91, w45, w51, w41, w40, w63, w3, w25, w76, w79, w22, w67, w52, w89, w93, w59, w96, w69, w7, w90, w83, w6, w31, w68, w11, w23, w80, w70, w20, w85, w61, w55, w62, w87, w28, w72, w24, w77, w92, w19, w60, w29, w5, w49, w74, w73, w100, w71, w65, w30, w13, w43, w16, w47, w18, w75, w86, w9, w8, w56, w21, w46, w88, w81, w1, w78, w10, w35, w32, w82, w12, w33, w38, w66, w48, w44, w17, w36, w97, w26, w2, w84, w58, w39, w98, w27, w95, w4, w42, w99, w64, w34, w54, w94, w53, w37, w14
m94: w94, w85, w73, w78, w61, w88, w69, w2, w3, w15, w34, w17, w87, w58, w64, w1, w55, w86, w4, w92, w56, w99, w95, w37, w57, w7, w93, w40, w38, w91, w65, w42, w72, w62, w44, w26, w9, w51, w22, w43, w52, w70, w84, w76, w35, w28, w45, w77, w20, w96, w29, w100, w79, w19, w80, w48, w11, w12, w75, w60, w36, w33, w39, w50, w24, w82, w25, w59, w23, w68, w18, w53, w66, w6, w32, w98, w27, w49, w63, w16, w83, w14, w13, w8, w54, w46, w90, w5, w47, w74, w30, w21, w31, w67, w10, w41, w97, w89, w71, w81
m95: w88, w43, w17, w31, w29, w35, w18, w89, w83, w73, w93, w82, w79, w32, w99, w41, w96, w45, w23, w94, w11, w57, w92, w6, w70, w36, w59, w39, w61, w54, w98, w86, w56, w69, w8, w64, w5, w44, w97, w52, w14, w19, w84, w55, w1, w49, w2, w21, w58, w90, w75, w12, w16, w13, w63, w53, w81, w85, w10, w26, w76, w34, w95, w27, w20, w7, w15, w46, w71, w9, w28, w60, w74, w62, w22, w42, w67, w33, w68, w47, w51, w25, w91, w3, w48, w72, w4, w100, w38, w77, w50, w30, w40, w78, w24, w87, w80, w37, w66, w65
m96: w18, w82, w89, w100, w16, w1, w22, w23, w65, w70, w43, w41, w77, w84, w69, w3, w11, w74, w68, w59, w94, w29, w8, w19, w87, w51, w14, w99, w63, w64, w62, w34, w90, w50, w38, w26, w61, w88, w36, w47, w39, w45, w92, w33, w37, w57, w44, w32, w13, w28, w15, w49, w95, w91, w25, w21, w85, w81, w66, w35, w24, w97, w53, w75, w96, w93, w60, w48, w42, w86, w27, w17, w20, w55, w54, w78, w72, w12, w98, w9, w30, w2, w4, w10, w52, w56, w58, w73, w5, w40, w31, w79, w67, w83, w6, w80, w7, w71, w46, w76
m97: w74, w96, w73, w1, w91, w98, w41, w77, w61, w22, w64, w4, w69, w97, w82, w55, w34, w42, w27, w17, w40, w46, w9, w93, w18, w87, w70, w35, w24, w15, w78, w36, w3, w38, w11, w45, w81, w39, w8, w5, w26, w66, w95, w51, w49, w75, w43, w84, w80, w33, w21, w25, w37, w57, w29, w31, w23, w48, w79, w7, w28, w10, w16, w99, w83, w88, w53, w2, w13, w62, w90, w76, w47, w6, w50, w68, w60, w58, w19, w32, w56, w67, w92, w65, w94, w86, w72, w59, w20, w54, w85, w12, w89, w14, w44, w63, w71, w30, w100, w52
m98: w59, w93, w4, w63, w3, w67, w51, w32, w11, w10, w77, w73, w5, w100, w99, w49, w71, w61, w88, w45, w38, w44, w16, w31, w55, w52, w27, w22, w86, w84, w92, w56, w17, w42, w24, w34, w74, w80, w9, w8, w21, w90, w47, w98, w1, w6, w26, w94, w76, w91, w15, w36, w75, w2, w13, w87, w7, w39, w12, w66, w89, w29, w57, w83, w96, w60, w43, w65, w79, w58, w54, w97, w37, w62, w69, w64, w33, w72, w78, w82, w23, w41, w68, w40, w70, w14, w50, w35, w85, w25, w46, w20, w53, w95, w18, w81, w48, w28, w30, w19
m99: w50, w54, w1, w23, w7, w20, w99, w55, w76, w12, w78, w34, w59, w11, w56, w42, w62, w51, w94, w29, w14, w45, w95, w35, w72, w49, w69, w48, w41, w83, w52, w25, w100, w67, w31, w80, w5, w21, w9, w91, w13, w3, w81, w40, w47, w75, w61, w84, w37, w43, w53, w39, w77, w93, w16, w26, w4, w79, w98, w33, w90, w38, w89, w2, w30, w10, w46, w96, w74, w82, w24, w63, w15, w68, w18, w8, w73, w64, w60, w19, w85, w65, w17, w70, w88, w97, w36, w86, w66, w87, w22, w57, w28, w92, w44, w71, w58, w6, w27, w32
m100: w14, w66, w56, w57, w38, w4, w24, w15, w100, w82, w41, w46, w96, w13, w33, w77, w28, w12, w51, w71, w89, w68, w98, w29, w25, w21, w19, w78, w32, w79, w59, w1, w92, w26, w63, w67, w74, w8, w50, w36, w42, w9, w49, w2, w93, w47, w61, w86, w39, w81, w27, w60, w18, w23, w48, w6, w73, w70, w5, w45, w83, w94, w84, w34, w54, w91, w87, w10, w65, w30, w40, w58, w62, w97, w90, w88, w17, w52, w53, w37, w44, w64, w16, w99, w35, w72, w69, w95, w3, w31, w43, w22, w20, w75, w80, w76, w7, w11, w85, w55
WOMEN_PREFERENCES:
w1: m88, m93, m64, m45, m8, m46, m69, m31, m87, m100, m79, m40, m38, m25, m12, m1, m99, m91, m5, m71, m77, m67, m75, m22, m94, m66, m85, m39, m98, m63, m90, m33, m36, m97, m11, m29, m26, m32, m15, m27, m70, m21, m7, m4, m84, m49, m76, m59, m14, m41, m80, m86, m65, m30, m37, m18, m50, m3, m74, m54, m89, m96, m10, m58, m47, m78, m17, m56, m13, m24, m51, m43, m57, m48, m60, m82, m20, m72, m34, m52, m53, m35, m9, m83, m16, m44, m19, m42, m92, m28, m61, m73, m68, m81, m23, m55, m95, m2, m62, m6
w2: m35, m22, m17, m49, m36, m27, m100, m9, m72, m82, m21, m10, m78, m2, m75, m70, m81, m8, m55, m42, m96, m86, m76, m88, m15, m30, m1, m46, m97, m50, m45, m92, m57, m69, m25, m54, m79, m73, m58, m62, m31, m4, m11, m39, m66, m20, m16, m37, m60, m26, m85, m41, m33, m89, m56, m77, m7, m40, m18, m53, m84, m13, m93, m14, m98, m23, m52, m95, m32, m91, m59, m94, m71, m38, m74, m19, m6, m44, m61, m80, m65, m5, m28, m63, m99, m3, m24, m48, m90, m43, m12, m67, m29, m83, m68, m34, m87, m51, m47, m64
w3: m61, m39, m28, m83, m80, m63, m29, m62, m23, m15, m92, m84, m69, m5, m7, m55, m65, m24, m70, m89, m87, m1, m19, m2, m4, m52, m99, m94, m93, m35, m100, m54, m9, m90, m32, m34, m22, m57, m6, m82, m44, m78, m12, m8, m30, m13, m66, m43, m46, m45, m47, m75, m41, m96, m73, m76, m10, m60, m40, m48, m3, m36, m14, m86, m77, m38, m20, m71, m17, m59, m56, m42, m91, m33, m74, m51, m79, m27, m98, m25, m97, m81, m95, m18, m21, m88, m31, m58, m68, m85, m49, m26, m16, m64, m67, m72, m11, m53, m37, m50
w4: m7, m56, m21, m64, m87, m79, m20, m22, m23, m93, m91, m62, m82, m4, m55, m77, m96, m85, m88, m58, m60, m99, m43, m19, m38, m26, m45, m48, m14, m31, m35, m57, m75, m70, m97, m13, m5, m40, m37, m9, m42, m49, m89, m2, m84, m51, m63, m54, m17, m94, m53, m29, m78, m67, m52, m41, m32, m83, m71, m47, m72, m73, m12, m39, m18, m95, m68, m76, m25, m69, m59, m80, m92, m27, m34, m66, m1, m61, m30, m65, m8, m86, m10, m11, m24, m28, m15, m3, m46, m100, m36, m81, m33, m6, m44, m90, m74, m98, m16, m50
w5: m35, m68, m72, m52, m24, m33, m100, m71, m82, m32, m64, m76, m73, m17, m27, m14, m12, m15, m66, m4, m65, m69, m51, m93, m81, m26, m75, m87, m49, m84, m74, m25, m59, m63, m44, m95, m5, m50, m20, m18, m13, m48, m90, m99, m86, m61, m94, m21, m46, m67, m28, m91, m60, m88, m78, m56, m43, m89, m39, m2, m45, m97, m70, m23, m96, m9, m3, m77, m54, m83, m53, m38, m22, m98, m11, m16, m62, m8, m41, m37, m19, m31, m85, m30, m6, m7, m42, m29, m79, m55, m57, m10, m40, m47, m92, m58, m1, m36, m80, m34
w6: m73, m37, m33, m20, m71, m51, m76, m42, m52, m10, m85, m61, m39, m34, m27, m79, m5, m65, m63, m86, m91, m45, m4, m64, m96, m100, m62, m56, m98, m17, m60, m81, m16, m84, m53, m13, m35, m82, m59, m32, m19, m28, m21, m49, m50, m67, m93, m69, m22, m48, m29, m15, m70, m83, m90, m94, m44, m41, m77, m46, m75, m66, m36, m11, m72, m12, m74, m18, m92, m57, m3, m26, m58, m9, m68, m78, m87, m25, m1, m14, m30, m23, m80, m99, m88, m89, m2, m8, m7, m31, m40, m38, m95, m47, m55, m97, m43, m54, m24, m6
w7: m34, m31, m17, m78, m91, m53, m43, m49, m50, m65, m33, m10, m27, m9, m24, m81, m84, m83, m98, m48, m30, m2, m25, m87, m70, m22, m42, m4, m46, m6, m56, m15, m68, m12, m73, m23, m77, m26, m94, m100, m14, m69, m38, m97, m40, m51, m3, m76, m28, m39, m20, m19, m16, m37, m29, m54, m90, m72, m75, m18, m35, m82, m45, m52, m95, m36, m59, m62, m80, m57, m11, m99, m64, m32, m58, m92, m96, m63, m44, m7, m71, m86, m13, m79, m60, m66, m21, m61, m67, m85, m93, m41, m74, m1, m5, m88, m47, m8, m89, m55
w8: m61, m34, m43, m100, m81, m45, m17, m4, m68, m83, m44, m99, m65, m32, m39, m64, m90, m23, m5, m73, m27, m42, m92, m46, m79, m40, m8, m84, m48, m28, m3, m70, m60, m69, m13, m86, m98, m59, m77, m88, m12, m55, m95, m63, m7, m20, m37, m19, m30, m36, m31, m25, m66, m72, m24, m67, m57, m80, m26, m82, m87, m78, m38, m91, m1, m54, m9, m14, m56, m16, m41, m76, m93, m22, m49, m94, m97, m35, m50, m21, m62, m2, m89, m51, m52, m18, m58, m96, m71, m11, m47, m6, m15, m53, m29, m33, m75, m74, m10, m85
w9: m13, m42, m100, m87, m43, m3, m68, m20, m66, m11, m5, m15, m31, m85, m8, m45, m4, m75, m56, m1, m48, m52, m51, m92, m44, m58, m83, m50, m70, m60, m86, m91, m17, m19, m23, m54, m41, m93, m46, m71, m98, m36, m29, m74, m18, m21, m95, m80, m78, m84, m57, m63, m82, m40, m32, m94, m10, m65, m22, m90, m2, m38, m55, m67, m7, m96, m30, m12, m73, m62, m37, m72, m28, m9, m33, m39, m88, m99, m16, m47, m24, m69, m59, m64, m34, m27, m61, m89, m79, m14, m77, m25, m97, m81, m26, m49, m76, m6, m35, m53
w10: m32, m17, m30, m6, m33, m46, m58, m19, m89, m27, m61, m96, m28, m76, m98, m5, m84, m45, m35, m97, m47, m54, m48, m13, m60, m40, m80, m20, m72, m68, m23, m93, m10, m18, m100, m75, m86, m3, m73, m64, m9, m92, m53, m81, m63, m55, m7, m38, m78, m91, m49, m15, m8, m67, m51, m39, m1, m66, m44, m90, m34, m2, m77, m25, m83, m4, m74, m50, m56, m59, m88, m79, m37, m82, m99, m94, m24, m62, m22, m69, m65, m31, m11, m21, m36, m26, m85, m41, m57, m29, m16, m70, m14, m71, m52, m12, m43, m87, m42, m95
w11: m33, m89, m36, m39, m14, m42, m88, m65, m41, m76, m34, m27, m94, m26, m91, m24, m9, m31, m59, m56, m48, m97, m53, m63, m75, m20, m62, m80, m4, m68, m29, m32, m86, m84, m96, m79, m15, m7, m85, m98, m81, m83, m3, m64, m16, m45, m99, m66, m23, m21, m61, m2, m58, m82, m95, m57, m92, m8, m46, m5, m43, m44, m38, m11, m12, m49, m47, m87, m30, m78, m93, m13, m50, m1, m74, m19, m17, m60, m6, m51, m71, m52, m72, m90, m28, m100, m73, m54, m67, m70, m55, m69, m40, m18, m25, m10, m77, m35, m22, m37
w12: m83, m49, m46, m21, m86, m26, m11, m77, m60, m72, m45, m44, m3, m75, m87, m89, m79, m8, m9, m15, m62, m39, m50, m25, m13, m6, m93, m16, m91, m88, m40, m43, m23, m52, m48, m57, m92, m33, m58, m97, m35, m99, m65, m10, m27, m78, m96, m95, m2, m41, m76, m18, m68, m30, m24, m51, m66, m31, m85, m1, m12, m17, m34, m29, m81, m5, m74, m71, m59, m20, m32, m67, m42, m14, m80, m28, m69, m37, m100, m82, m19, m55, m4, m73, m94, m61, m84, m54, m38, m90, m64, m98, m53, m22, m47, m36, m63, m56, m7, m70
w13: m85, m16, m71, m62, m51, m59, m32, m45, m98, m5, m40, m37, m61, m93, m12, m54, m78, m44, m39, m1, m63, m22, m42, m97, m76, m84, m92, m17, m83, m81, m50, m80, m60, m14, m7, m96, m24, m70, m10, m20, m49, m34, m6, m94, m56, m53, m33, m75, m90, m77, m8, m65, m13, m41, m26, m9, m25, m79, m73, m87, m86, m67, m52, m38, m11, m36, m46, m30, m95, m48, m58, m68, m88, m64, m99, m43, m72, m31, m19, m66, m27, m23, m57, m15, m74, m4, m35, m3, m21, m2, m55, m82, m100, m28, m47, m18, m91, m69, m29, m89
w14: m62, m22, m2, m55, m37, m49, m23, m25, m95, m85, m96, m57, m26, m21, m73, m32, m64, m93, m80, m52, m65, m88, m66, m44, m82, m99, m58, m11, m9, m83, m81, m34, m90, m68, m67, m60, m46, m27, m70, m94, m74, m59, m77, m7, m4, m24, m47, m51, m89, m91, m61, m87, m31, m76, m48, m50, m56, m33, m3, m100, m19, m5, m13, m8, m41, m97, m17, m92, m12, m72, m10, m40, m38, m79, m35, m1, m28, m69, m71, m75, m16, m43, m53, m86, m45, m36, m63, m42, m84, m30, m54, m39, m78, m18, m15, m29, m98, m14, m6, m20
w15: m45, m76, m50, m26, m5, m28, m51, m59, m16, m31, m13, m46, m39, m44, m96, m60, m20, m66, m72, m86, m24, m77, m71, m30, m32, m34, m1, m69, m57, m43, m25, m95, m14, m68, m17, m55, m4, m79, m75, m61, m81, m58, m10, m92, m52, m90, m98, m29, m88, m87, m12, m27, m15, m21, m38, m2, m70, m9, m82, m11, m22, m54, m73, m63, m49, m36, m67, m100, m56, m37, m97, m78, m80, m84, m3, m85, m7, m83, m41, m74, m8, m40, m48, m99, m18, m91, m64, m89, m53, m93, m47, m94, m33, m42, m65, m23, m19, m35, m62, m6
w16: m14, m50, m64, m52, m25, m40, m85, m56, m51, m7, m22, m47, m72, m4, m37, m89, m71, m82, m81, m76, m86, m41, m2, m45, m66, m24, m65, m20, m75, m99, m38, m39, m69, m55, m78, m54, m91, m97, m44, m15, m62, m95, m6, m58, m74, m84, m9, m16, m63, m17, m77, m49, m18, m3, m87, m67, m30, m13, m90, m36, m94, m61, m10, m5, m48, m32, m70, m33, m8, m57, m1, m43, m60, m29, m26, m21, m80, m28, m31, m96, m73, m88, m12, m98, m42, m68, m46, m93, m53, m59, m83, m92, m35, m19, m27, m79, m100, m11, m34, m23
w17: m20, m26, m57, m4, m55, m76, m34, m91, m42, m16, m79, m85, m45, m77, m71, m52, m47, m28, m59, m89, m98, m2, m12, m13, m53, m70, m93, m73, m86, m66, m50, m80, m29, m24, m75, m14, m99, m67, m33, m92, m63, m62, m64, m43, m21, m97, m7, m18, m69, m41, m68, m8, m39, m36, m72, m81, m65, m58, m95, m22, m3, m56, m15, m23, m54, m90, m9, m84, m100, m46, m30, m40, m11, m74, m78, m10, m61, m19, m37, m32, m94, m87, m82, m48, m35, m44, m83, m27, m96, m49, m60, m17, m25, m6, m1, m51, m5, m31, m88, m38
w18: m83, m43, m62, m99, m52, m2, m10, m46, m55, m63, m87, m70, m35, m26, m79, m41, m6, m80, m15, m94, m34, m51, m44, m96, m1, m59, m50, m38, m4, m64, m47, m58, m61, m24, m56, m12, m33, m31, m36, m95, m73, m17, m53, m28, m98, m11, m25, m78, m20, m100, m76, m65, m54, m9, m93, m30, m40, m77, m71, m45, m97, m89, m5, m88, m57, m19, m85, m66, m27, m82, m3, m86, m48, m42, m72, m67, m18, m23, m74, m75, m91, m22, m39, m49, m14, m21, m69, m37, m7, m68, m29, m92, m16, m8, m81, m32, m60, m90, m84, m13
w19: m66, m16, m40, m45, m29, m92, m27, m8, m19, m100, m67, m47, m35, m20, m87, m51, m39, m61, m65, m68, m84, m42, m94, m32, m50, m78, m46, m36, m5, m59, m1, m44, m41, m7, m97, m12, m48, m74, m63, m57, m15, m37, m64, m98, m80, m2, m54, m4, m55, m62, m3, m82, m71, m56, m38, m14, m53, m52, m33, m23, m85, m11, m73, m28, m58, m93, m81, m76, m70, m30, m10, m24, m13, m60, m6, m9, m88, m89, m43, m25, m90, m72, m22, m96, m26, m31, m18, m91, m49, m99, m17, m79, m95, m69, m34, m86, m75, m21, m83, m77
w20: m44, m81, m7, m24, m57, m78, m37, m66, m97, m90, m3, m69, m88, m8, m11, m25, m17, m48, m1, m59, m67, m76, m36, m94, m100, m38, m86, m28, m91, m19, m40, m63, m71, m33, m26, m41, m68, m55, m53, m92, m85, m23, m93, m84, m16, m27, m62, m87, m47, m96, m30, m39, m72, m13, m65, m54, m58, m52, m15, m9, m6, m70, m31, m32, m74, m99, m50, m89, m82, m34, m73, m2, m75, m49, m45, m22, m20, m64, m56, m43, m12, m14, m80, m5, m4, m77, m21, m98, m60, m46, m95, m29, m83, m10, m61, m51, m18, m42, m35, m79
w21: m56, m1, m25, m99, m37, m11, m75, m100, m35, m74, m94, m40, m18, m64, m23, m67, m42, m39, m70, m88, m43, m52, m47, m80, m89, m50, m59, m45, m62, m55, m33, m92, m98, m38, m97, m6, m93, m51, m90, m81, m68, m3, m9, m26, m14, m72, m10, m69, m34, m2, m77, m57, m60, m22, m66, m76, m19, m8, m28, m82, m13, m44, m24, m71, m12, m73, m27, m31, m95, m41, m53, m96, m30, m86, m65, m61, m49, m20, m17, m36, m29, m7, m4, m48, m84, m63, m46, m58, m83, m85, m91, m79, m78, m32, m87, m15, m16, m5, m21, m54
w22: m47, m55, m18, m93, m33, m79, m6, m23, m56, m34, m72, m19, m48, m85, m43, m82, m7, m84, m97, m4, m51, m32, m57, m61, m38, m65, m95, m21, m100, m91, m59, m44, m68, m60, m1, m83, m24, m31, m73, m28, m80, m75, m37, m86, m81, m71, m50, m45, m10, m49, m54, m12, m52, m39, m17, m35, m46, m30, m92, m63, m29, m89, m8, m87, m53, m90, m62, m42, m77, m22, m13, m76, m66, m16, m58, m14, m25, m67, m64, m11, m96, m5, m20, m9, m36, m88, m98, m15, m26, m74, m2, m3, m41, m69, m78, m70, m40, m99, m27, m94
w23: m80, m97, m63, m70, m71, m96, m8, m65, m25, m11, m6, m85, m62, m58, m78, m44, m95, m20, m38, m90, m17, m34, m10, m68, m46, m92, m91, m4, m93, m57, m2, m98, m99, m26, m76, m100, m94, m47, m13, m45, m83, m61, m36, m28, m81, m9, m12, m35, m56, m42, m86, m16, m88, m3, m75, m22, m40, m19, m32, m21, m69, m87, m74, m14, m48, m72, m89, m51, m66, m64, m37, m24, m59, m29, m31, m84, m27, m39, m55, m60, m53, m50, m5, m33, m18, m15, m77, m67, m73, m54, m41, m79, m43, m82, m1, m52, m7, m23, m49, m30
w24: m44, m12, m23, m68, m62, m69, m72, m56, m33, m31, m16, m10, m88, m91, m61, m25, m8, m6, m29, m85, m100, m90, m92, m22, m47, m60, m21, m87, m64, m42, m66, m38, m46, m5, m18, m74, m2, m26, m80, m98, m96, m14, m86, m3, m19, m13, m59, m11, m75, m94, m93, m97, m1, m30, m89, m9, m34, m67, m35, m99, m36, m43, m63, m57, m32, m15, m84, m55, m24, m51, m77, m7, m40, m83, m17, m76, m39, m78, m52, m70, m65, m71, m27, m82, m50, m48, m49, m73, m53, m58, m54, m20, m45, m81, m79, m41, m95, m4, m28, m37
w25: m66, m84, m41, m22, m72, m85, m53, m92, m86, m25, m97, m49, m90, m40, m55, m6, m50, m20, m68, m33, m31, m18, m61, m4, m42, m16, m79, m39, m56, m83, m89, m38, m60, m48, m70, m5, m46, m30, m96, m62, m81, m9, m57, m8, m93, m58, m26, m19, m14, m51, m98, m23, m17, m94, m21, m47, m65, m71, m2, m1, m34, m10, m100, m75, m15, m78, m24, m28, m76, m35, m64, m45, m52, m77, m29, m43, m80, m67, m99, m95, m88, m11, m44, m32, m13, m7, m12, m37, m74, m69, m54, m73, m87, m27, m3, m36, m59, m82, m91, m63
w26: m87, m6, m66, m19, m25, m71, m81, m7, m64, m91, m38, m63, m79, m12, m50, m34, m98, m27, m24, m51, m97, m77, m95, m8, m18, m41, m70, m32, m72, m16, m33, m61, m75, m15, m85, m36, m49, m23, m43, m96, m54, m47, m39, m4, m58, m68, m65, m74, m82, m48, m90, m10, m80, m44, m29, m89, m83, m28, m14, m26, m35, m93, m92, m22, m42, m13, m30, m1, m40, m17, m67, m3, m5, m94, m31, m69, m2, m20, m88, m57, m56, m46, m59, m60, m84, m21, m55, m99, m45, m53, m11, m86, m76, m37, m78, m9, m62, m100, m73, m52
w27: m93, m20, m61, m4, m11, m42, m30, m13, m46, m52, m82, m74, m81, m21, m14, m73, m99, m25, m63, m54, m83, m41, m16, m90, m26, m45, m6, m32, m39, m62, m68, m18, m77, m89, m50, m22, m55, m84, m35, m92, m47, m49, m9, m69, m95, m37, m17, m43, m36, m38, m5, m15, m64, m56, m94, m34, m78, m44, m72, m10, m29, m33, m98, m7, m80, m70, m3, m60, m87, m48, m66, m23, m67, m57, m1, m65, m100, m86, m58, m28, m12, m31, m27, m53, m2, m79, m96, m59, m24, m71, m51, m88, m85, m75, m91, m76, m97, m8, m40, m19
w28: m58, m65, m89, m6, m80, m17, m78, m34, m19, m64, m67, m33, m18, m71, m48, m8, m45, m82, m59, m51, m15, m79, m66, m72, m95, m14, m25, m24, m30, m97, m69, m62, m84, m94, m27, m32, m61, m91, m22, m23, m99, m9, m7, m93, m81, m96, m2, m39, m13, m43, m86, m11, m44, m31, m88, m85, m54, m55, m12, m76, m28, m1, m92, m10, m5, m87, m98, m73, m21, m77, m41, m63, m35, m68, m74, m83, m60, m75, m90, m29, m53, m3, m50, m4, m20, m46, m100, m26, m42, m37, m57, m56, m47, m70, m16, m36, m49, m40, m38, m52
w29: m39, m16, m52, m26, m36, m83, m100, m58, m46, m78, m45, m29, m62, m86, m61, m9, m54, m75, m14, m13, m72, m92, m8, m25, m21, m98, m90, m79, m49, m18, m88, m81, m59, m10, m63, m4, m56, m47, m66, m38, m77, m1, m53, m37, m55, m65, m28, m89, m95, m27, m43, m23, m57, m74, m97, m67, m34, m50, m82, m48, m93, m76, m40, m73, m80, m7, m17, m84, m15, m96, m5, m64, m60, m24, m71, m35, m20, m19, m68, m94, m31, m44, m51, m3, m6, m33, m87, m22, m91, m99, m11, m42, m85, m41, m70, m30, m2, m32, m12, m69
w30: m82, m67, m28, m16, m80, m38, m88, m93, m7, m50, m4, m79, m69, m8, m24, m25, m5, m14, m19, m44, m42, m21, m22, m26, m76, m96, m36, m35, m72, m52, m45, m65, m32, m48, m95, m98, m91, m46, m58, m74, m89, m68, m85, m97, m41, m18, m71, m60, m84, m10, m94, m13, m12, m9, m11, m86, m43, m83, m33, m29, m47, m62, m57, m55, m39, m64, m81, m20, m2, m30, m15, m92, m23, m1, m17, m90, m6, m66, m87, m37, m99, m31, m53, m40, m63, m78, m54, m49, m61, m27, m56, m34, m59, m3, m51, m77, m100, m70, m73, m75
w31: m37, m69, m22, m83, m16, m42, m17, m34, m95, m43, m31, m47, m87, m52, m27, m80, m98, m70, m57, m59, m10, m86, m94, m44, m99, m55, m1, m6, m53, m46, m45, m23, m12, m77, m67, m89, m90, m93, m72, m75, m3, m8, m76, m9, m58, m88, m15, m4, m11, m50, m25, m33, m63, m71, m13, m74, m81, m60, m38, m20, m62, m5, m26, m19, m32, m68, m78, m100, m28, m73, m29, m18, m40, m92, m51, m66, m97, m56, m39, m48, m61, m24, m85, m91, m35, m36, m64, m7, m30, m84, m54, m2, m41, m65, m49, m21, m82, m79, m14, m96
w32: m1, m68, m10, m55, m88, m57, m3, m30, m44, m23, m24, m42, m51, m76, m40, m61, m16, m47, m38, m99, m15, m98, m81, m80, m9, m25, m56, m73, m5, m27, m96, m66, m35, m67, m19, m41, m74, m95, m46, m83, m91, m85, m60, m45, m72, m54, m58, m48, m100, m71, m43, m87, m31, m94, m36, m26, m49, m2, m13, m53, m17, m65, m8, m50, m86, m12, m93, m59, m34, m52, m6, m18, m77, m97, m82, m63, m69, m90, m14, m28, m39, m89, m62, m33, m21, m79, m70, m22, m32, m20, m7, m78, m75, m64, m11, m4, m92, m84, m29, m37
w33: m49, m3, m4, m25, m35, m22, m82, m78, m71, m41, m75, m86, m98, m37, m36, m7, m20, m27, m5, m29, m69, m28, m18, m84, m73, m66, m80, m11, m14, m94, m2, m93, m13, m40, m10, m76, m26, m45, m50, m99, m43, m23, m54, m1, m62, m87, m83, m19, m77, m65, m39, m63, m31, m96, m88, m24, m52, m34, m68, m42, m30, m64, m38, m51, m53, m21, m81, m55, m33, m97, m70, m95, m79, m67, m72, m90, m91, m60, m74, m59, m6, m57, m32, m15, m46, m16, m12, m44, m17, m48, m61, m85, m92, m56, m9, m47, m58, m89, m8, m100
